Time, AccelerometerX, AccelerometerY, AccelerometerZ 
5.64, -0.078, -10.123, 0.485
5.65, 0.0, -10.157, 0.679
5.66, -0.078, -10.06, 0.576
5.67, -0.039, -10.06, 0.576
5.68, -0.039, -10.091, 0.531
5.69, -0.039, -10.105, 0.608
5.7, -0.078, -10.13, 0.524
5.71, -0.078, -10.091, 0.531
5.72, -0.078, -10.13, 0.524
5.73, -0.078, -10.13, 0.524
5.74, -0.078, -10.091, 0.531
5.75, -0.118, -10.098, 0.569
5.76, -0.118, -10.13, 0.524
5.77, -0.078, -10.105, 0.608
5.78, -0.078, -10.057, 0.338
5.79, -0.078, -10.085, 0.492
5.8, -0.078, -10.098, 0.569
5.81, -0.078, -10.144, 0.601
5.82, -0.078, -10.144, 0.601
5.83, -0.078, -10.13, 0.524
5.84, -0.078, -10.119, 0.685
5.85, -0.078, -10.123, 0.485
5.86, -0.039, -10.085, 0.492
5.87, -0.039, -10.085, 0.492
5.88, -0.039, -10.071, 0.415
5.89, -0.078, -10.105, 0.608
5.9, -0.078, -10.066, 0.615
5.91, -0.078, -10.091, 0.531
5.92, -0.078, -10.071, 0.415
5.93, -0.078, -10.13, 0.524
5.94, -0.078, -10.091, 0.531
5.95, -0.039, -10.144, 0.601
5.96, 0.0, -10.144, 0.601
5.97, 0.0, -10.137, 0.563
5.98, 0.0, -10.13, 0.524
5.99, 0.0, -10.175, 0.556
6.0, 0.039, -10.175, 0.556
6.01, 0.0, -10.144, 0.601
6.02, -0.039, -10.123, 0.485
6.03, -0.039, -10.078, 0.454
6.04, -0.078, -10.13, 0.524
6.05, -0.078, -10.103, 0.37
6.06, -0.039, -10.137, 0.563
6.07, -0.078, -10.116, 0.447
6.08, -0.078, -10.13, 0.524
6.09, -0.078, -10.105, 0.608
6.1, -0.118, -10.091, 0.531
6.11, -0.118, -10.105, 0.608
6.12, -0.118, -10.13, 0.524
6.13, -0.118, -10.137, 0.563
6.14, -0.078, -10.137, 0.563
6.15, -0.078, -10.144, 0.601
6.16, -0.118, -10.155, 0.44
6.17, -0.118, -10.157, 0.679
6.18, -0.157, -10.157, 0.679
6.19, -0.118, -10.085, 0.492
6.2, -0.118, -10.053, 0.538
6.21, -0.118, -10.06, 0.576
6.22, -0.118, -10.06, 0.576
6.23, -0.118, -10.085, 0.492
6.24, -0.078, -10.098, 0.569
6.25, -0.078, -10.098, 0.569
6.26, -0.078, -10.105, 0.608
6.27, -0.078, -10.137, 0.563
6.28, -0.039, -10.15, 0.64
6.29, -0.039, -10.137, 0.563
6.3, -0.039, -10.098, 0.569
6.31, 0.0, -10.112, 0.647
6.32, -0.039, -10.119, 0.685
6.33, -0.039, -10.105, 0.608
6.34, -0.039, -10.098, 0.569
6.35, -0.039, -10.085, 0.492
6.36, -0.039, -10.13, 0.524
6.37, -0.039, -10.123, 0.485
6.38, 0.0, -10.144, 0.601
6.39, 0.0, -10.144, 0.601
6.4, 0.0, -10.13, 0.524
6.41, -0.039, -10.155, 0.44
6.42, -0.039, -10.169, 0.517
6.43, -0.078, -10.13, 0.524
6.44, -0.039, -10.13, 0.524
6.45, -0.039, -10.091, 0.531
6.46, -0.039, -10.13, 0.524
6.47, -0.039, -10.091, 0.531
6.48, -0.039, -10.085, 0.492
6.49, -0.039, -10.098, 0.569
6.5, -0.039, -10.091, 0.531
6.51, 0.0, -10.085, 0.492
6.52, -0.039, -10.053, 0.538
6.53, -0.039, -10.078, 0.454
6.54, -0.078, -10.06, 0.576
6.55, -0.039, -10.039, 0.46
6.56, -0.078, -10.091, 0.531
6.57, -0.078, -10.046, 0.499
6.58, -0.039, -10.064, 0.376
6.59, -0.078, -10.064, 0.376
6.6, -0.078, -10.039, 0.46
6.61, -0.039, -10.06, 0.576
6.62, -0.039, -10.053, 0.538
6.63, -0.039, -10.091, 0.531
6.64, -0.039, -10.13, 0.524
6.65, -0.078, -10.091, 0.531
6.66, -0.078, -10.105, 0.608
6.67, -0.039, -10.085, 0.492
6.68, -0.078, -10.137, 0.563
6.69, -0.118, -10.144, 0.601
6.7, -0.118, -10.123, 0.485
6.71, -0.118, -10.182, 0.594
6.72, -0.078, -10.13, 0.524
6.73, -0.118, -10.171, 0.756
6.74, -0.078, -10.13, 0.524
6.75, -0.078, -10.105, 0.608
6.76, -0.039, -10.091, 0.531
6.77, -0.039, -10.078, 0.454
6.78, -0.078, -10.078, 0.454
6.79, -0.078, -10.13, 0.524
6.8, -0.078, -10.098, 0.569
6.81, -0.039, -10.13, 0.524
6.82, 0.0, -10.078, 0.454
6.83, 0.0, -10.078, 0.454
6.84, 0.039, -10.13, 0.524
6.85, 0.039, -10.125, 0.724
6.86, -0.039, -10.105, 0.608
6.87, -0.039, -10.091, 0.531
6.88, 0.0, -10.053, 0.538
6.89, -0.039, -10.13, 0.524
6.9, -0.039, -10.098, 0.569
6.91, -0.039, -10.098, 0.569
6.92, 0.0, -10.078, 0.454
6.93, 0.0, -10.091, 0.531
6.94, -0.039, -10.085, 0.492
6.95, -0.039, -10.169, 0.517
6.96, -0.039, -10.123, 0.485
6.97, 0.0, -10.116, 0.447
6.98, -0.039, -10.123, 0.485
6.99, -0.039, -10.162, 0.479
